valid,tmpf,p01i,relh,sknt,tmp_c,Td,P_mm,cumm_prec,HP_fresh_snow,snowfall,cummulative_snowfall,month
2024-02-14T23:56:00Z,19,0.03,87.87,0.00,-7.222222222222222,-9.648222222222222,0.735,65.66,71.07255372113457,10.341544823109908,852.9646840255232,Feb
2024-02-15T00:56:00Z,19,0.05,87.87,0.00,-7.222222222222222,-9.648222222222222,1.225,66.885,71.07255372113457,17.235908038516513,870.2005920640397,Feb
2024-02-15T01:56:00Z,19,0.03,87.87,0.00,-7.222222222222222,-9.648222222222222,0.735,67.62,71.07255372113457,10.341544823109908,880.5421368871496,Feb
2024-02-15T02:56:00Z,19,0.03,87.87,0.00,-7.222222222222222,-9.648222222222222,0.735,68.355,71.07255372113457,10.341544823109908,890.8836817102596,Feb
2024-02-15T03:56:00Z,19,0.02,91.76,0.00,-7.222222222222222,-8.870222222222221,0.49,68.845,71.07255372113457,6.894363215406605,897.7780449256661,Feb
2024-02-15T04:56:00Z,19,0.01,91.76,0.00,-7.222222222222222,-8.870222222222221,0.245,69.09,71.07255372113457,3.4471816077033024,901.2252265333694,Feb
2024-02-15T05:56:00Z,20,0.03,87.92,0.00,-6.666666666666667,-9.082666666666666,0.735,69.825,71.82677819786949,10.232952367363756,911.4581789007332,Feb
2024-02-15T06:56:00Z,20,0.01,87.92,0.00,-6.666666666666667,-9.082666666666666,0.245,70.07,71.82677819786949,3.410984122454585,914.8691630231878,Feb
2024-02-16T01:56:00Z,20,0.01,91.79,0.00,-6.666666666666667,-8.308666666666666,0.245,70.315,71.82677819786949,3.410984122454585,918.2801471456423,Feb
2024-02-16T07:56:00Z,16,0.02,87.7,0.00,-8.88888888888889,-11.348888888888888,0.49,70.80499999999999,69.57650868547844,7.042606897897848,925.3227540435402,Feb
2024-02-18T12:56:00Z,13,0.01,80.02,0.00,-10.555555555555555,-14.551555555555556,0.245,71.05,68.79041213815636,3.561542842743117,928.8842968862833,Feb
2024-02-18T13:56:00Z,14,0.01,83.77,0.00,-10,-13.246,0.245,71.295,68.9986516155818,3.550794026599097,932.4350909128824,Feb
2024-02-18T14:56:00Z,16,0.01,83.91,0.00,-8.88888888888889,-12.10688888888889,0.245,71.54,69.57650868547844,3.521303448948924,935.9563943618314,Feb
2024-02-18T19:56:00Z,22,0.01,84.33,0.00,-5.555555555555555,-8.689555555555556,0.245,71.785,73.91972402907676,3.314406313308581,939.2708006751399,Feb
2024-02-20T22:56:00Z,24,0.01,88.13,0.00,-4.444444444444445,-6.818444444444445,0.245,72.03,77.13390634480132,3.1762944677637543,942.4470951429037,Feb
2024-02-26T21:56:00Z,17,0.02,91.68,0.00,-8.333333333333334,-9.997333333333332,0.49,72.52,69.97281577713434,7.00271947838523,949.4498146212889,Feb
2024-02-27T02:56:00Z,10,0.01,83.49,0.00,-12.222222222222223,-15.524222222222225,0.245,72.765,68.3773578737567,3.5830574274650537,953.0328720487539,Feb
2024-02-27T08:56:00Z,4,0.1,83.04,0.00,-15.555555555555557,-18.947555555555557,2.45,75.215,68.04627535642943,36.004909705443694,989.0377817541977,Feb
2024-02-27T09:56:00Z,7,0.12,75.88,0.00,-13.88888888888889,-18.71288888888889,2.94,78.155,68.16031859795787,43.1336011989839,1032.1713829531816,Feb
2024-02-27T23:56:00Z,-5,0.02,78.39,0.00,-20.555555555555557,-24.877555555555556,0.49,78.645,67.93831944310331,7.212424505295028,1039.3838074584767,Feb
2024-02-28T09:56:00Z,16,0.05,80.27,0.00,-8.88888888888889,-12.83488888888889,1.225,79.87,69.57650868547844,17.60651724474462,1056.9903247032212,Feb
2024-02-29T22:56:00Z,27,0.11,92.05,0.00,-2.7777777777777777,-4.367777777777778,2.695,82.565,85.45527463401083,31.536964939170666,1088.527289642392,Feb
2024-03-01T16:56:00Z,24,0.02,88.13,0.00,-4.444444444444445,-6.818444444444445,0.49,83.05499999999999,77.13390634480132,6.352588935527509,1094.8798785779193,Mar
2024-03-01T17:56:00Z,23,0.02,88.08,0.00,-5,-7.384,0.49,83.545,75.35511232588772,6.5025448821693805,1101.3824234600888,Mar
2024-03-01T18:56:00Z,22,0.03,91.87,0.00,-5.555555555555555,-7.181555555555555,0.735,84.28,73.91972402907676,9.943218939925742,1111.3256424000144,Mar
2024-03-01T19:56:00Z,22,0.03,95.86,0.00,-5.555555555555555,-6.383555555555556,0.735,85.015,73.91972402907676,9.943218939925742,1121.2688613399403,Mar
2024-03-01T20:56:00Z,23,0.03,88.08,0.00,-5,-7.384,0.735,85.75,75.35511232588772,9.75381732325407,1131.0226786631943,Mar
2024-03-01T21:56:00Z,23,0.04,91.9,0.00,-5,-6.619999999999999,0.98,86.73,75.35511232588772,13.005089764338761,1144.0277684275331,Mar
2024-03-01T22:56:00Z,23,0.03,91.9,0.00,-5,-6.619999999999999,0.735,87.465,75.35511232588772,9.75381732325407,1153.7815857507871,Mar
2024-03-01T23:56:00Z,23,0.03,91.9,0.00,-5,-6.619999999999999,0.735,88.2,75.35511232588772,9.75381732325407,1163.5354030740411,Mar
2024-03-02T01:56:00Z,23,0.02,91.9,0.00,-5,-6.619999999999999,0.49,88.69,75.35511232588772,6.5025448821693805,1170.0379479562107,Mar
