valid,p01i,tmpf,sknt,relh,tmp,tmp_c,wind_ms,P_mm,CR_snow,CR_mix,P_corr,cummulative_precip_mm,cummulative_corr_precip_mm,snow_Ta,Td,snow_Td,snow_prob,snow_from_fraction,cumm_snow_Ta,cumm_snow_Td,cumm_snow_F
2023-11-16T12:56:00Z,0,42,4,46.55,10,5.5555555555,2.05761316872428,0,0.8681428021259515,0.8947621399176955,0,186.944,193.0995300609502,0,-5.1344444445000015,0,0.3420000000046501,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-16T13:56:00Z,0,41,7,44.47,9,4.99999999995,3.60082304526749,0,0.6862602333154918,0.808033744855967,0,186.944,193.0995300609502,0,-6.10600000005,0,0.38850000000418505,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-16T14:56:00Z,0,39,5,46.06,7,3.8888888888500004,2.57201646090535,0,0.8114371074684765,0.8658526748971193,0,186.944,193.0995300609502,0,-6.89911111115,0,0.48150000000325505,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-16T15:56:00Z,0,35,0,61.23,3,1.66666666665,0,0,1,1.0104,0,186.944,193.0995300609502,0,-6.08733333335,0,0.6675000000013951,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-16T16:56:00Z,0,30,0,74.87,-2,-1.1111111111,0,0,1,1.0104,0,186.944,193.0995300609502,0,-6.137111111099999,0,0.8999999999990701,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-16T17:56:00Z,0,28,0,77.89,-4,-2.2222222222,0,0,1,1.0104,0,186.944,193.0995300609502,0,-6.6442222222,0,0.99299999999814,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-16T18:56:00Z,0,27,0,81.17,-5,-2.77777777775,0,0,1,1.0104,0,186.944,193.0995300609502,0,-6.54377777775,0,1.039499999997675,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-16T19:56:00Z,0,26,0,84.59,-6,-3.3333333333,0,0,1,1.0104,0,186.944,193.0995300609502,0,-6.4153333332999996,0,1.08599999999721,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-16T20:56:00Z,0,25,0,88.18,-7,-3.8888888888500004,0,0,1,1.0104,0,186.944,193.0995300609502,0,-6.2528888888499985,0,1.132499999996745,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-16T21:56:00Z,0,27,0,84.66,-5,-2.77777777775,0,0,1,1.0104,0,186.944,193.0995300609502,0,-5.84577777775,0,1.039499999997675,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-16T22:56:00Z,0,23,0,91.9,-9,-4.99999999995,0,0,1,1.0104,0,186.944,193.0995300609502,0,-6.619999999949998,0,1.2254999999958152,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-16T23:56:00Z,0,22,0,91.87,-10,-5.5555555555,0,0,1,1.0104,0,186.944,193.0995300609502,0,-7.181555555499999,0,1.27199999999535,0,41.104625034709315,82.09487721321163,106.9124844047941
