station,valid,lon,lat,elevation,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3,wxcodes
WYS,2023-09-10 19:35,-111.1176,44.6884,2026.60,FEW,M,M,10000.00,M,M,M
WYS,2023-09-10 20:40,-111.1176,44.6884,2026.60,SCT,M,M,11000.00,M,M,M
WYS,2023-09-10 21:55,-111.1176,44.6884,2026.60,BKN,BKN,M,9500.00,12000.00,M,M
WYS,2023-09-10 22:55,-111.1176,44.6884,2026.60,SCT,M,M,11000.00,M,M,M
WYS,2023-09-10 23:40,-111.1176,44.6884,2026.60,SCT,M,M,11000.00,M,M,M
WYS,2023-09-11 00:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-11 01:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-11 02:40,-111.1176,44.6884,2026.60,FEW,M,M,7000.00,M,M,M
WYS,2023-09-11 03:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-11 04:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-11 05:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-11 06:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-11 07:35,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-11 08:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-11 09:35,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-11 10:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-11 11:35,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-11 12:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-11 13:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-11 14:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-11 15:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-11 16:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-11 17:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-11 18:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-11 19:40,-111.1176,44.6884,2026.60,FEW,M,M,9500.00,M,M,M
WYS,2023-09-11 20:40,-111.1176,44.6884,2026.60,SCT,BKN,M,8000.00,9000.00,M,M
WYS,2023-09-11 21:40,-111.1176,44.6884,2026.60,FEW,M,M,9000.00,M,M,M
WYS,2023-09-11 22:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-11 23:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-12 00:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-12 01:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
